id,process_group,porosity_pct,n_pores,max_pore_volume_vox,measured_log10_cycles,predicted_log10_cycles_300MPa,predicted_log10_cycles_450MPa
P002,keyhole,0.6533938907816471,,,,,
P003,spatter,0.06961745695228323,,,,,
P004,spatter,0.06342849141952052,,,,,
P005,spatter,0.05735480565543917,,,,,
P006,spatter,0.05781328870866006,,,,,
P007,spatter,0.06723239510562082,,,,,
P008,spatter,0.06908577457619057,,,,,
P009,spatter,0.2665341871698734,,,,,
P010,keyhole,0.5710283207575844,,,,,
P011,spatter,0.08203512993157043,,,,,
P012,spatter,0.06713514411883476,,,,,
P013,spatter,0.05956949382561525,,,,,
P014,spatter,0.05478765096368068,,,,,
P015,spatter,0.06496762467456832,,,,,
P016,spatter,0.0649084308153473,,,,,
P017,spatter,0.27431657522713243,,,,,
P018,keyhole,0.47366880753595764,,,,,
P019,clean,0.01727503655649028,,,,,
P020,clean,0.021041856738663888,,,,,
P021,clean,0.012380779206412302,,,,,
P022,clean,0.009541517314927896,,,,,
P023,clean,0.010680865257144396,,,,,
P024,clean,0.015370763422459209,,,,,
P025,clean,0.013248654946848192,,,,,
P026,keyhole,0.4665605866812653,,,,,
P027,clean,0.020606773763427365,,,,,
P028,clean,0.015108688940486567,,,,,
P029,clean,0.011980963158661533,,,,,
P030,clean,0.014703245047084037,,,,,
P031,clean,0.013318197928877826,,,,,
P032,clean,0.012080954505932582,,,,,
P033,clean,0.02183151663767811,,,,,
P035,keyhole,0.5495242148299648,,,,,
P036,clean,0.02483149428090371,,,,,
P037,clean,0.016396291857826734,,,,,
P038,clean,0.0175524244761887,,,,,
P039,clean,0.014062537362177658,,,,,
P040,clean,0.02716568728397238,,,,,
P041,clean,0.045639322244689556,,,,,
P042,spatter,0.13820191135069315,,,,,
P043,keyhole,0.5018650430708498,,,,,
P044,clean,0.028952339517025482,,,,,
P045,clean,0.019793572760172056,,,,,
P046,clean,0.020316448734881688,,,,,
P047,clean,0.019128591048940217,,,,,
P048,clean,0.022400555729515315,,,,,
P049,clean,0.0448081734438513,,,,,
P050,spatter,0.18609204559081868,,,,,
P051,keyhole,0.47348074152651604,,,,,
P052,clean,0.009856711583162764,,,,,
P053,clean,0.009327245097781158,,,,,
P054,clean,0.006335033377654438,,,,,
P055,clean,0.0059884252935864975,,,,,
P056,clean,0.00576725713284442,,,,,
P057,clean,0.005700782079153722,,,,,
P058,clean,0.007802439621734411,,,,,
P059,keyhole,0.5687050719649221,,,,,
P060,clean,0.010150513586455088,,,,,
P061,clean,0.004926906516064039,,,,,
P062,clean,0.005280011457586345,,,,,
P063,clean,0.006156614638733328,,,,,
P064,clean,0.004098590684181708,,,,,
P065,clean,0.0023762889792625246,,,,,
P066,clean,0.00452736002913884,,,,,
